car; auto, kaara, auton
food; ruokaa
drink; juoma, juo
sit; istu
and; ja
only; vain
now; nyt
or; tai
young; nuori
a few; muutama
a lot; paljon
ago; sitten
all; kaiken
alone; yksin
always; aina
area; ala
at first; ensin
home; koti
park; puisto
building; rakennus
school; koulu
road; katu
train; juna
bus; bussi
country; maa
city; kaupunki
beautiful; kaunis
ugly; ruma
hot; kuuma
cold; kylmä
cute; söpö
sweet; nätti
evening, iltä
morning; huomenta, aamu
day; päivä, päivän
tomorrow; huomenna
time; aika
awesome; mahtavaa, mahtava
same; sama
because; koska
why; miksi 
been; ollut, olleet, käynyt
behind; takana
around; ympäri
out; ulos, poissa, pois, loppuun
up; yläs
between; välillä
better; parempi, paremmin
big; iso
blood; verta
easy; helppoa
eat; syödä
small; pieni
down; alas
drive; ajaa
dog; koira
size; koko
do you know; tiedätkö
need; tarvita
do; toki, tehdä, teette
difficult; vaikea, vaikeaa
directly; suoraan
couple; pari
crazy; hullu
coffee; kahvia
clock; kello
children; lapsia, lapsi
buy; ostaa
call; soittaa, soita
but; mutta, vaan
end; loppu
far; kaukana
fire; tuli
free; ilman
friend; ystävä, kaveri
funny; hauska
get; saada, päästä
go; mennä, menkää, mennään, lähteä
gold; kulta
good; hyvää, hyvät, hyvältä, hyvä, hyviä
half; puoli
happy; onnellinen, iloinen
help; auttaa, auta, apua
head; pää
house; talo
much; paljon
start; alkaa
love; rakas, rakastaa
ice; jää
moment; hetki
man; mies,  miestä, miehen, ihminen
if; jos
in; sisään, siltä, vuonna
important; tärkeää
just; juuri
large; suuri
female; nainen
little; pikku
long; pitkä, kauan, pitkään
many; monta
over; yli
own; oma
say; sanot, sanoa, sano
see; näe, näet, nähdä
best; paras
what; mitä
wait; odota, odottaa, odottakaa
visit; käy, käydä
week; vikkon
year; vuoden
yes; kyllä
